商品长编码,体积（立方米）(WMS),商品名称,商品类型,商品剂型,规格,单位,装箱数,珠海仓码托数
D.A.03.DA03822-06,0,健力多氨糖硫酸软骨素加钙片（120片）彩盒,产品,其他,1.2g/片*120片/瓶*1瓶/盒,个,1,
D.A.05.DA05238-02,0,健力多氨糖硫酸软骨素加钙片（80片）-彩盒,产品,其他,80×139×67mm,个,1,
E.A.06.01.EA060111I-02,0,健力多氨糖硫酸软骨素加钙片（80片）彩盒装-标签,产品,其他,250ml瓶签-197×72mm,张,1,
F.A.41.FA41219,0,Life Space海外版零钱包25年版,产品,其他,,个,1,1
F.A.41.FA41220,0,Life Space海外版手机防水袋25年版,产品,其他,,个,1,1
E.A.06.01.EA060111M-02,0,健力多氨糖硫酸软骨素加钙片瓶装（120片）-标签,产品,其他,,张,1,
E.A.06.01.EA060111B-06,0,健力多氨糖硫酸软骨素加钙片（48片）标签,产品,片剂,1.2g/片*48片/瓶*1瓶/盒,张,1,
F.A.41.FA41221,0,Life Space海外版运动毛巾25年版,产品,其他,,个,1,1
E.A.06.01.EA060111K-03,0,健力多氨糖硫酸软骨素加钙片电商装（28片，体验装）-标签,产品,其他,155×57mm,张,1,
E.A.06.01.EA060111C-06,0,健力多氨糖硫酸软骨素加钙片（48片，本品不单独销售）标签,产品,片剂,1.2g/片*48片/瓶,张,1,
D.A.03.DA03865-06,0,健力多氨糖硫酸软骨素加钙片（48片）彩盒,产品,其他,1.2g/片*48片/瓶*1瓶/盒,个,1,
E.A.06.01.EA060111J-04,0,健力多氨糖硫酸软骨素加钙片（80片）电商装-标签,产品,其他,250ml瓶签-197×72mm,张,1,
F.A.41.FA41222,0,无限能西洋参胶囊插卡,产品,其他,,张,1,1
E.A.06.01.EA060111N-02,0,健力多氨糖硫酸软骨素加钙片电商装瓶装（48片）标签,产品,其他,,张,1,
D.A.05.DA05740-03,0,天然博士DHA藻油凝胶糖果儿童型（50粒）彩盒,产品,其他,,个,1,
F.A.41.FA41197,0,钙维生素E蛋白粉 气模,产品,其他,,个,1,1
C.02.CA02749,0,血橙味粉末香精(98AF9192),产品,其他,,公斤,1,1
C.01.CA010055,0,复合果蔬汁固体饮料（SD1056-7),产品,其他,,公斤,1,1
A.A.047.AA0470011B,0,Life-Space 女性私处益生菌 30s 美版 （LSP081USA）,产品,粉剂,1000mg/粒*30粒/瓶,瓶,1,
D.B.04.DB040115-01,0,汤臣倍健叶黄素酯鱼油虾青素软胶囊（60粒，非销售）,产品,其他,,个,1,
D.A.05.DA05702-03,0,天然博士DHA藻油凝胶糖果SA型（30粒）彩盒,产品,其他,,个,1,
C.01.CA010056,0,紫胡萝卜浓缩汁,产品,其他,色价11.0 - 13.0,公斤,1,1
B.A.02.BA02203,0,汤臣倍健鱼油软胶囊,产品,软胶囊,1000mg/粒,粒,1,1
C.01.CA010054,0,血橙粉固体饮料,产品,其他,9%黄酮,公斤,1,1
C.03.CA03030,0,无水柠檬酸,产品,,,公斤,1,1
E.A.14.01.EA140105-04,0,汤臣倍健健视佳蓝莓叶黄素酯压片糖果(30片)电商专供款-标签,产品,其他,155x57mm,张,1,
F.A.41.FA41211,0,便携式3格蛋白粉杯,产品,其他,,个,1,1
F.A.41.FA41218,0,积木模型,产品,其他,,个,1,1
D.A.05.DA05892-02,0,Yep胶原蛋白肽玫瑰花透明质酸钠口服液（单瓶试用装）-外盒,产品,其他,,个,1,
F.A.41.FA41212,0,被子1X1.5米（情人草款）,产品,其他,,张,1,1
C.03.CA03110,0,金银花提取物（水提）,产品,,,公斤,1,1
D.A.05.DA05877-02,0,Yep胶原蛋白肽玫瑰花透明质酸钠口服液（7瓶装）-外盒,产品,其他,,个,1,
F.A.41.FA41214,0,汤臣倍健定制腋下包,产品,其他,,个,1,1
D.A.05.DA06014-01,0,汤臣倍健尊耀蛋白粉礼盒（420gx2）-山姆中秋节庆礼盒,产品,其他,,个,1,
E.A.058.EA0580012-02,0,Yep胶原蛋白肽玫瑰花透明质酸钠口服液（50ml/瓶）-标签,产品,其他,50ml瓶签,张,1,
F.A.41.FA41213,0,欧莱雅安瓶面膜5张,产品,其他,,盒,1,1
F.A.41.FA41217,0,健力多60粒PVC套盒,产品,其他,,个,1,1
F.A.41.FA41215,0,健力多金装60粒PVC套盒,产品,其他,,个,1,1
F.A.41.FA41216,0,健力多白金装60粒PVC套盒,产品,其他,,个,1,1
F.A.41.FA41210,0,纤体能礼盒,产品,其他,220*220*240,个,1,1
F.A.41.FA41208,0,健力多2025年双11南极科考IP-普通常规版礼盒（金氨糖40x6）内托,产品,其他,,个,1,1
B.A.01.BA01412,0,Pentavite with Vitamin C Orange Chewable Tablet,产品,片剂,1.2g/片,片,1,1
F.A.41.FA41206,0,健力多2025年双11南极科考IP-普通常规版礼盒（金氨糖180x4-内托）,产品,其他,,个,1,1
F.A.41.FA41198,0,健力多2025年蓝氨糖礼盒（100x6盒）,产品,其他,,个,1,1
F.A.41.FA41199,0,健力多2025年蓝氨糖礼盒（100x6盒）内托,产品,其他,,个,1,1
E.A.024.EA0240037-01,0,Pentavite with Vitamin C Orange Chewable Tablet (30 tablets)-标签,产品,其他,,张,1,
F.A.41.FA41205,0,健力多2025年双11南极科考IP-普通常规版礼盒（金氨糖180x4-180x5通用）,产品,其他,,个,1,1
A.A.024.AA0240037,0,Pentavite with Vitamin C Orange Chewable Tablet (30 tablets),产品,片剂,1.2g/片*30片/瓶,瓶,1,
F.A.41.FA41209,0.051084,18寸行李箱（yep标品）,产品,其他,,个,1,30
F.A.41.FA41204,0,健力多2025年双11南极科考IP-普通常规版礼盒（批文A180x2盒）内托,产品,其他,,个,1,1
F.A.41.FA41203,0,健力多2025年双11南极科考IP-普通常规版礼盒（批文A180x2盒）,产品,其他,,个,1,1
D.Y.01.DY01003-01,0,每益乐特殊医学用途全营养配方食品（500g*2）-内托,产品,其他,,个,1,
F.A.41.FA41207,0,健力多2025年双11南极科考IP-普通常规版礼盒（金氨糖40x6）,产品,其他,,个,1,1
F.A.41.FA41202,0,健力多2025年双11南极科考IP-定制周边赠品,产品,其他,,个,1,1
F.A.41.FA41201,0,健力多2025年双11南极科考IP-定制周边版礼盒（批文A180x2盒）内托,产品,其他,,个,1,1
F.A.41.FA41200,0,健力多2025年双11南极科考IP-定制周边版礼盒（批文A180x2盒）,产品,其他,,个,1,1
B.A.01.BA01411,0,Yep柠檬酸钙片,产品,片剂,825mg/片,片,1,1
E.A.058.EA0580014B-01,0,Yep柠檬酸钙片（50片）试吃装-标签,产品,其他,,张,1,
E.A.058.EA0580014-01,0,Yep柠檬酸钙片（120片）-标签,产品,其他,,张,1,
A.A.058.AA0580014B,0,Yep柠檬酸钙片（50片）试吃装,产品,片剂,825mg/片*50片/瓶,瓶,1,
E.A.058.EA0580014A-01,0,Yep柠檬酸钙片（200片）-标签,产品,其他,,张,1,
A.A.058.AA0580014,0,Yep柠檬酸钙片（120片）,产品,片剂,825mg/片*120片/瓶,瓶,1,
D.B.03.DB03383-01,0,自然唯他通用纸箱A,产品,其他,,个,1,
B.A.04.BA04383,0,自然唯他乳铁蛋白调制乳粉（牛奶味）（4.5g／袋）,产品,粉剂,4.5g/袋,袋,1,1
A.A.035.AA0350008A,0,自然唯他多种矿物质维生素D口服液（3支）,产品,口服液,10ml/支*3支/盒,盒,1,
A.A.035.AA0350009A,0,自然唯他乳铁蛋白调制乳粉（牛奶味）（3袋）,产品,粉剂,4.5g/袋*3袋/盒,盒,1,
A.A.035.AA0350009,0,自然唯他乳铁蛋白调制乳粉（牛奶味）（20袋）,产品,粉剂,4.5g/袋*20袋/盒,盒,1,
D.A.05.DA06013-01,0,自然唯他多种矿物质维生素D口服液（3支）-彩盒,产品,其他,,个,1,
D.A.05.DA06012-01,0,自然唯他乳铁蛋白调制乳粉（牛奶味）（3袋）-彩盒,产品,其他,,个,1,
D.A.05.DA06011-01,0,自然唯他乳铁蛋白调制乳粉（牛奶味）（20袋）-彩盒,产品,其他,,个,1,
A.A.058.AA0580014A,0,Yep柠檬酸钙片（200片）,产品,片剂,825mg/片*200片/瓶,瓶,1,
D.B.03.DB03382-01,0,自然唯他乳铁蛋白调制乳粉（牛奶味）（3袋）-纸箱,产品,其他,,个,1,
D.B.03.DB03381-01,0,自然唯他乳铁蛋白调制乳粉（牛奶味）（20袋）-纸箱,产品,其他,,个,1,
D.A.02.DA02610-01,0,自然唯他乳铁蛋白调制乳粉（牛奶味）（4.5g／袋）-铝箔,产品,其他,,公斤,1,
F.A.41.FA41177,0,儿童购物车玩具(天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41182,0,儿童智能机器狗(天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41173,0,316儿童便携餐具4件套(天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41175,0,儿童羽毛球拍*2支(天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41193,0,博恩贝扭扭车（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41190,0,科巢口水巾2条装（天然博士标品）,产品,其他,,个,1,1
E.A.01.07.EA010754-04,0,汤臣倍健螺旋藻硒片（120片）-标签,产品,,EA010754,张,1,
F.A.41.FA41178,0,儿童电动积木(天然博士标品）,产品,其他,,个,1,1
A.A.010.AA0100004,0,每日每加叶黄素酯维生素C压片糖果30片,产品,片剂,600mg/片*30片/瓶,瓶,1,
E.A.010.EA0100004-01,0,每日每加叶黄素酯维生素C压片糖果30片-标签,产品,其他,,张,1,
F.A.41.FA41189,0,科巢儿童轻便书包（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41180,0,儿童电动车(天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41181,0,儿童行李箱(天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41191,0,lovemami婴儿专用枕头（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41195,0,健力多OTC硫酸氨糖A4海报竖版,产品,其他,,张,1,1
F.A.41.FA41184,0,mideer弥鹿飞行棋（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41186,0,儿童画画板便携式绘画本家用（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41176,0,小象飞碟儿童玩具(天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41179,0,儿童早教机(天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41174,0,润本婴儿润肤乳40mg*2支(天然博士标品）,产品,其他,,个,1,1
B.A.01.BA01410,0,叶黄素酯维生素C压片糖果,产品,片剂,600mg/片,片,1,1
F.A.41.FA41185,0,十月结晶多功能储奶杯礼盒（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41183,0,爱贝迪拉宝宝毛绒帽子（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41192,0,美的宝宝辅食锅（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41188,0,科巢便携一次性奶粉储存袋（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41194,0,美的宝宝辅食锅（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41196,0,【刻刀+塑料培养皿+定制收纳包】,产品,其他,,套,1,1
F.A.41.FA41187,0,科巢宝宝安抚玩偶（天然博士标品）,产品,其他,,个,1,1
F.A.41.FA41170,0,健力多OTC硫酸氨糖价签卡,产品,其他,,张,1,1
F.A.41.FA41172,0,健力多OTC硫酸氨糖A3海报竖版,产品,其他,,张,1,1
E.A.09.02.EA090201A-03,0,健乐多速度力量运动营养粉（乳清蛋白营养强化粉）（巧克力味）（1.5kg）标签,产品,其他,476*150mm,张,1,
E.A.006.EA0060007A-02,0,健力多氨糖软骨素维生素D钙片（60片）-标签,产品,其他,,张,1,
E.A.006.EA0060007B-02,0,健力多氨糖软骨素维生素D钙片（20片）-标签,产品,其他,,张,1,
F.A.41.FA41167,0.004255,体脂秤,产品,其他,,个,20,12
E.A.006.EA0060007-02,0,健力多氨糖软骨素维生素D钙片（180片）-标签,产品,其他,,张,1,
F.A.41.FA41169,0,健力多OTC硫酸氨糖跳跳卡,产品,其他,,张,1,1
F.A.41.FA41168,0.001433,显温保温杯,产品,其他,,个,60,16
F.A.41.FA41171,0,健力多OTC硫酸氨糖货架横条,产品,其他,,张,1,1
F.A.41.FA41165,0,汤臣倍健PLUS定制礼盒（大）,产品,其他,,个,1,1
F.A.41.FA41164,0,汤臣倍健京东重磅新品日定制礼盒（大）,产品,其他,,个,1,1
F.A.41.FA41166,0,汤臣倍健PLUS定制礼盒（小）,产品,其他,,个,1,1
F.A.41.FA41163,0,25年钙DK运动毛巾,产品,其他,,盒,1,1
F.A.41.FA41160,0,商超礼袋-礼遇营养款（红色）,产品,其他,,个,1,1
F.A.41.FA41162,0,褪黑素陈列盒,产品,其他,,个,1,1
F.A.41.FA41161,0,晶纯鱼油posm轻物料,产品,其他,,套,1,1
F.A.40.FA41102,0,lifespace定制代言人香片小卡,产品,其他,,个,1,1
F.A.40.FA41103,0,lifespace定制代言人香氛贴纸,产品,其他,,个,1,1
F.A.41.FA41159,0,蛋白粉科学实证海报,产品,其他,,张,1,1
F.A.40.FA41104,0,lifespace定制代言人石膏挂件,产品,其他,,个,1,1
C.01.CA010049,0,烟酰胺核糖氯化物【NR-Cl】,产品,其他,88%,公斤,1,1
C.01.CA010051,0,迷迭香提取物,产品,其他,,公斤,1,1
F.A.41.FA41151,0,25年康佳筋膜枪（赠品）,产品,其他,,个,1,1
F.A.41.FA41155,0.001335,白色蛋白粉摇摇杯,产品,其他,,个,100,9
C.01.CA010053,0,黑生姜提取物,产品,其他,,公斤,1,1
F.A.41.FA41152,0,25年奥克斯颈椎按摩仪（赠品）,产品,其他,,个,1,1
D.A.05.DA05368-05,0,汤臣倍健Yep胶原蛋白肽果味饮料（树莓味）（30瓶）抽拉盒,产品,其他,待定,个,1,
F.A.41.FA41154,0,健力多按摩垫（赠品）,产品,其他,,个,1,1
F.A.41.FA41150,0,健力多擦手巾（赠品）,产品,其他,,个,1,1
F.A.41.FA41147,0,健力多家用药箱（赠品）,产品,其他,,个,1,1
F.A.41.FA41157,0,密封塑料袋包装【胸卡胸带+仿真鱼油+防氧化盒】,产品,其他,,个,1,1
C.01.CA010050,0,红三叶草提取物,产品,其他,,公斤,1,1
F.A.41.FA41158,0,2025年猫超专供礼盒（金40x4+钙D60x1）,产品,其他,,个,1,1
F.A.41.FA41149,0,25年健力多环保编织袋（赠品）,产品,其他,,个,1,1
F.A.41.FA41153,0,健力多护具套组（赠品）,产品,其他,,套,1,1
C.01.CA010052,0,雨生红球藻提取物,产品,其他,,公斤,1,1
F.A.41.FA41156,0,2025年主业猫超臻钻+VC礼盒,产品,其他,,个,1,1
F.A.41.FA41148,0,25年品牌便携湿纸巾（赠品）,产品,其他,,袋,1,1
A.Y.01.01.AY010001,0,每益乐特殊医学用途全营养配方食品（500g/罐）,产品,粉剂,500g/罐,罐,1,
A.Y.01.01.AY010001A,0,每益乐特殊医学用途全营养配方食品（500g*2）礼盒裝,产品,礼盒,500g/罐*2罐/盒,盒,1,
F.A.41.FA41141,0,健力多批文A金装小堆头头牌反面,产品,其他,,个,1,1
F.A.41.FA41135,0,健力多批文A金装大堆头头牌反面,产品,其他,,个,1,1
F.A.41.FA41142,0,健力多批文A金装小堆头围板,产品,其他,,个,1,1
F.A.41.FA41137,0,健力多批文A金装货架插卡,产品,其他,,个,1,1
F.A.41.FA41132,0,健力多批文A金装空白海报,产品,其他,,张,1,1
F.A.41.FA41131,0,健力多批文A金装海报,产品,其他,,张,1,1
F.A.41.FA41133,0,健力多批文A金装跳跳卡,产品,其他,,张,1,1
F.A.41.FA41140,0,健力多批文A金装小堆头头牌正面,产品,其他,,个,1,1
B.A.04.BA04382,0,每益乐特殊医学用途全营养配方食品（500g/罐）- 罐装,产品,粉剂,500g/罐,罐,1,1
D.Y.01.DY01002-01,0,每益乐特殊医学用途全营养配方食品（500g/罐）-铁罐,产品,其他,,个,1,
F.A.41.FA41136,0,健力多批文A金装大堆头头牌围板,产品,其他,,个,1,1
F.A.41.FA41138,0,健力多批文A金装三角立牌,产品,其他,,个,1,1
D.B.02.DB02831-01,0,LifeSpace 自动线封口签,产品,其他,,个,1,
D.Y.01.DY01001-01,0,每益乐特殊医学用途全营养配方食品（500g*2）-彩盒,产品,其他,,个,1,
F.A.41.FA41139,0,健力多批文A金装空白三角立牌,产品,其他,,个,1,1
F.A.41.FA41134,0,健力多批文A金装大堆头头牌正面,产品,其他,,个,1,1
F.A.41.FA41146,0,健力多批文A科普挂板,产品,其他,,张,1,1
F.A.41.FA41145,0,华为（HUAWEI）Pura X 典藏版,产品,其他,16GB+512GB,台,1,1
F.A.40.FA41120,0,Yep胶原灌注瓶-七夕非遗联名封套,产品,其他,,个,1,1
F.A.40.FA41119,0,Yep虾青素胶原-七夕非遗联名封套,产品,其他,,个,1,1
F.A.41.FA41144,0,skg腰部按摩仪T5-2【礼盒款】,产品,其他,,盒,1,1
F.A.40.FA41122,0,Yep玫瑰胶原-七夕非遗联名礼袋,产品,其他,,个,1,1
F.A.40.FA41123,0,Yep高光小粉瓶-七夕非遗联名礼袋,产品,其他,,个,1,1
F.A.40.FA41121,0,Yep七夕非遗联名包包,产品,其他,,个,1,1
F.A.41.FA41143,0,蓝氨糖120片价签,产品,其他,,张,1,1
F.A.41.FA41130,0.00111,Life-Space气球（50个装）,产品,其他,,包,50,20
F.A.41.FA41129,0.00111,汤臣倍健彩色气球（50个装）,产品,其他,,包,50,20
A.A.001.AA0010057B,0,汤臣倍健晶纯鱼油软胶囊（10粒）-非销品,产品,软胶囊,800mg/粒*10粒/瓶,瓶,112,42
E.A.001.EA0010057B-01,0,汤臣倍健晶纯鱼油软胶囊（20粒）-非销品-标签,产品,其他,,张,1,
E.A.023.EA0230023A-01,0,Life-Space 口香益生菌微泡片（樱花桃桃）6片-标签,产品,其他,,张,1,
B.A.01.BA01409,0,汤臣倍健富硒酵母片,产品,片剂,370mg/片,片,1,1
A.A.023.AA0230023,0,Life-Space 口香益生菌微泡片（樱花桃桃）30片,产品,片剂,0.85g/片*30片/支,支,1,
A.A.023.AA0230023A,0,Life-Space 口香益生菌微泡片（樱花桃桃）6片,产品,片剂,0.85g/片*6片/支,支,1,
