仓库编码,仓库名称,Eas仓库ID,仓库属性,仓库分类,仓库类型,仓库状态,仓库品质,所属物理仓,库存组织,线上/线下,默认退货仓,近效期调入仓,虚拟逻辑仓,是否BC共仓,转合格入库仓,备注,创建人,创建时间,更新时间,更新人,计费组织,计费组织类型,计费组织名称,计费组织id
6966,佰悦电商华北荣庆在途仓,6966,产成品,逻辑仓,TCBJ-C仓,有效,合格,华北荣庆-电商,广东佰悦网络科技有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:23,2025-09-26 15:02:08,,,,,
6965,佰悦电商华南顺丰在途仓,6965,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰-电商,广东佰悦网络科技有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:23,2025-09-26 15:02:08,,,,,
6964,广州麦优（武汉）在途仓,6964,产成品,逻辑仓,TCBJ-C仓,有效,合格,,广州麦优网络科技有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:37,2025-09-26 15:02:20,,,,,
6963,广州麦优（成都）在途仓,6963,产成品,逻辑仓,TCBJ-C仓,有效,合格,,广州麦优网络科技有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:37,2025-09-26 15:02:20,,,,,
6962,广州麦优（嘉兴）在途仓,6962,产成品,逻辑仓,TCBJ-C仓,有效,合格,,广州麦优网络科技有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:37,2025-09-26 15:02:20,,,,,
6961,广州麦优（北京）在途仓,6961,产成品,逻辑仓,TCBJ-C仓,有效,合格,,广州麦优网络科技有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:35,2025-09-26 15:02:20,,,,,
6960,广州麦优（珠海）在途仓,6960,产成品,逻辑仓,TCBJ-C仓,有效,合格,,广州麦优网络科技有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:35,2025-09-26 15:02:20,,,,,
6956,药业产成品(京东珠海)特价仓,6956,产成品,逻辑仓,TCBJ-B仓,有效,其他,珠海仓,汤臣倍健药业有限公司,线下,否,,不开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:18,2025-09-26 15:02:06,,,,,
6955,佰傲产成品(京东珠海)特价仓,6955,产成品,逻辑仓,TCBJ-C仓,有效,其他,珠海京东仓,佰傲药业（珠海）有限公司,线下,否,,不开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:18,2025-09-26 15:02:05,,CN02,,佰傲药业（珠海）有限公司,1415929557998108019
6944,珠海佰腾电商华南顺丰退货仓,6944,产成品,逻辑仓,TCBJ-B仓,有效,不合格,华南顺丰仓,佰腾药业（珠海）有限公司,线下,否,,不开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:40,2025-09-26 15:02:25,,CN12,,佰腾药业（珠海）有限公司,1415929557998108029
6943,珠海佰腾电商华南顺丰不合格仓,6943,产成品,逻辑仓,TCBJ-B仓,有效,不合格,华南顺丰仓,佰腾药业（珠海）有限公司,线下,否,,不开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:02:24,,CN12,,佰腾药业（珠海）有限公司,1415929557998108029
6893,LS南京佰健(南京)在途仓,6893,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行-电商,广东佰悦网络科技有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:22,2025-09-26 15:02:08,,,,,
6892,LS南京佰健(广州)在途仓,6892,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行-电商,广东佰悦网络科技有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:22,2025-09-26 15:02:08,,,,,
6891,LS大贸嘉兴菜鸟在途仓,6891,产成品,逻辑仓,TCBJ-C仓,有效,合格,华东菜鸟-电商,广东佰悦网络科技有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:22,2025-09-26 15:02:08,,,,,
6890,LS大贸华北荣庆在途仓,6890,产成品,逻辑仓,TCBJ-C仓,有效,合格,华北荣庆-电商,广东佰悦网络科技有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:22,2025-09-26 15:02:08,,,,,
6889,LS大贸华中顺丰在途仓,6889,产成品,逻辑仓,TCBJ-C仓,有效,合格,华中顺丰-电商,广东佰悦网络科技有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:21,2025-09-26 15:02:07,,,,,
6888,LS大贸珠海顺丰在途仓,6888,产成品,逻辑仓,TCBJ-C仓,有效,合格,珠海仓,广东佰悦网络科技有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:21,2025-09-26 15:02:07,,,,,
6869,股份佰悦珠海顺丰牧商在途仓,6869,产成品,逻辑仓,TCBJ-C仓,有效,合格,珠海仓,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:17,2025-09-26 15:02:04,,,,,
6866,股份京东（佰傲）不合格仓,6866,产成品,逻辑仓,TCBJ-B仓,有效,不合格,珠海京东仓,汤臣倍健股份有限公司,线下,否,,不开启,否,,,SAP,2025-08-29 13:30:17,2025-09-26 15:02:03,,CN02,,佰傲药业（珠海）有限公司,1416674966979743741
6862,好健时促销物料(珠海)不合格仓,6862,产成品,逻辑仓,TCBJ-B仓,有效,不合格,珠海仓,好健时药业（海南）有限公司,线下,否,,不开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:00,2025-09-26 15:02:25,,CN17,,好健时药业（海南）有限公司,1415929557998108034
6861,好健时促销物料(珠海)合格仓,6861,产成品,逻辑仓,TCBJ-B仓,有效,合格,珠海仓,好健时药业（海南）有限公司,线下,否,,不开启,否,,0830,SAP,2025-08-29 13:30:00,2025-09-26 15:02:25,,CN17,,好健时药业（海南）有限公司,1415929557998108034
6859,股份珠海（佰嘉）索赔仓,6859,产成品,逻辑仓,TCBJ-B仓,有效,claim,珠海仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 16:02:07,,CN03,,广东佰嘉药业有限公司,1416674966979743742
6858,股份北京（佰嘉）索赔仓,6858,产成品,逻辑仓,TCBJ-B仓,有效,claim,北京仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 16:02:07,,CN03,,广东佰嘉药业有限公司,1416674966979743742
6857,股份成都（佰嘉）索赔仓,6857,产成品,逻辑仓,TCBJ-B仓,有效,claim,成都仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 16:02:07,,CN03,,广东佰嘉药业有限公司,1416674966979743742
6856,股份嘉兴（佰嘉）索赔仓,6856,产成品,逻辑仓,TCBJ-B仓,有效,claim,嘉兴仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 16:02:06,,CN03,,广东佰嘉药业有限公司,1416674966979743742
6855,股份武汉（佰嘉）索赔仓,6855,产成品,逻辑仓,TCBJ-B仓,有效,claim,武汉仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 16:02:06,,CN03,,广东佰嘉药业有限公司,1416674966979743742
6854,股份珠海（佰悦）索赔仓,6854,产成品,逻辑仓,TCBJ-B仓,有效,claim,珠海仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 17:02:49,,CN05,,广东佰悦网络科技有限公司,1416674966979743744
6853,股份北京（佰悦）索赔仓,6853,产成品,逻辑仓,TCBJ-B仓,有效,claim,北京仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 17:02:47,,CN05,,广东佰悦网络科技有限公司,1416674966979743744
6852,股份成都（佰悦）索赔仓,6852,产成品,逻辑仓,TCBJ-B仓,有效,claim,成都仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 17:02:47,,CN05,,广东佰悦网络科技有限公司,1416674966979743744
6851,股份武汉（佰悦）索赔仓,6851,产成品,逻辑仓,TCBJ-B仓,有效,claim,武汉仓,汤臣倍健股份有限公司,线下,否,,11,否,,,SAP,2025-08-29 13:30:41,2025-09-18 17:02:46,,CN05,,广东佰悦网络科技有限公司,1416674966979743744
6850,股份珠海（麦优）索赔仓,6850,产成品,逻辑仓,TCBJ-B仓,有效,claim,珠海仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 16:02:05,,CN07,,广州麦优网络科技有限公司,1416674966979743746
6849,股份北京（麦优）索赔仓,6849,产成品,逻辑仓,TCBJ-B仓,有效,claim,北京仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 16:02:05,,CN07,,广州麦优网络科技有限公司,1416674966979743746
6848,股份成都（麦优）索赔仓,6848,产成品,逻辑仓,TCBJ-B仓,有效,claim,成都仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 16:02:05,,CN07,,广州麦优网络科技有限公司,1416674966979743746
6846,股份武汉（麦优）索赔仓,6846,产成品,逻辑仓,TCBJ-B仓,有效,claim,武汉仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:41,2025-09-18 16:02:05,,CN07,,广州麦优网络科技有限公司,1416674966979743746
6845,股份LS大贸珠海调整仓,6845,产成品,逻辑仓,TCBJ-C仓,有效,合格,,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:41,2025-09-26 15:02:03,,,,,
6836,股份食代说电商猫超调拨仓,6836,产成品,逻辑仓,TCBJ-C仓,有效,合格,珠海工厂-电商,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:40,2025-09-26 15:02:01,,CN08,,珠海食代说食品有限公司,1415929557998108025
6835,股份麦优阿里药房调拨仓,6835,产成品,逻辑仓,TCBJ-C仓,有效,合格,珠海仓,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:40,2025-09-26 15:02:01,,,,,
6832,股份麦优电商猫超调拨仓,6832,产成品,逻辑仓,TCBJ-C仓,有效,合格,珠海仓,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:40,2025-09-26 15:02:01,,,,,
6813,股份佰腾线下顺丰在途仓,6813,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:57,,,,,
6812,股份LS大贸嘉兴菜鸟在途仓,6812,产成品,逻辑仓,TCBJ-C仓,有效,合格,华东菜鸟-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:57,,,,,
6811,股份食代说华东菜鸟在途仓,6811,产成品,逻辑仓,TCBJ-C仓,有效,合格,华东菜鸟-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:57,,,,,
6810,股份食代说华北荣庆在途仓,6810,产成品,逻辑仓,TCBJ-C仓,有效,合格,华北荣庆-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:57,,,,,
6809,股份食代说华中顺丰在途仓,6809,产成品,逻辑仓,TCBJ-C仓,有效,合格,华中顺丰-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:56,,,,,
6808,股份食代说华南顺丰在途仓,6808,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:56,,,,,
6807,股份麦优南京神行在途仓,6807,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行佰健共享仓（c仓）,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:56,,,,,
6806,股份麦优华东菜鸟在途仓,6806,产成品,逻辑仓,TCBJ-C仓,有效,合格,华东菜鸟-电商,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:56,,,,,
6805,股份麦优华北荣庆在途仓,6805,产成品,逻辑仓,TCBJ-C仓,有效,合格,华北荣庆-电商,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:56,,,,,
6804,股份麦优西南荣庆在途仓,6804,产成品,逻辑仓,TCBJ-C仓,有效,合格,西南荣庆-电商,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:56,,,,,
6803,股份麦优华中顺丰在途仓,6803,产成品,逻辑仓,TCBJ-C仓,有效,合格,华中顺丰-电商,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:55,,,,,
6802,股份麦优华南顺丰在途仓,6802,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:55,,,,,
6801,股份LS大贸华北荣庆在途仓,6801,产成品,逻辑仓,TCBJ-C仓,有效,合格,华北荣庆-电商,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:55,,,,,
6800,股份LS大贸华中顺丰在途仓,6800,产成品,逻辑仓,TCBJ-C仓,有效,合格,华中顺丰-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:55,,,,,
6799,股份LS大贸珠海顺丰在途仓,6799,产成品,逻辑仓,TCBJ-C仓,有效,合格,珠海仓,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:39,2025-09-26 15:01:55,,,,,
6798,股份佰嘉电商华东菜鸟在途仓,6798,产成品,逻辑仓,TCBJ-C仓,有效,合格,华东菜鸟-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:12,2025-09-26 15:01:55,,,,,
6797,股份佰嘉电商华北荣庆在途仓,6797,产成品,逻辑仓,TCBJ-C仓,有效,合格,华北荣庆-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:12,2025-09-26 15:01:54,,,,,
6796,股份佰嘉电商华中顺丰在途仓,6796,产成品,逻辑仓,TCBJ-C仓,有效,合格,华中顺丰-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:12,2025-09-26 15:01:54,,,,,
6795,股份佰嘉电商华南顺丰在途仓,6795,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:12,2025-09-26 15:01:54,,,,,
6790,股份佰腾华东菜鸟在途仓,6790,产成品,逻辑仓,TCBJ-C仓,有效,合格,华东菜鸟-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:53,,,,,
6789,股份佰腾华北荣庆在途仓,6789,产成品,逻辑仓,TCBJ-C仓,有效,合格,北京仓,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:53,,,,,
6788,股份佰腾华中顺丰在途仓,6788,产成品,逻辑仓,TCBJ-C仓,有效,合格,成都仓,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:53,,,,,
6787,股份佰腾华南顺丰在途仓,6787,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰仓,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:53,,,,,
6786,股份佰悦华东菜鸟在途仓,6786,产成品,逻辑仓,TCBJ-C仓,有效,合格,华东菜鸟-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:53,,,,,
6785,股份佰悦华中顺丰在途仓,6785,产成品,逻辑仓,TCBJ-C仓,有效,合格,华中顺丰仓,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:52,,,,,
6784,股份佰悦华南顺丰在途仓,6784,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰仓,汤臣倍健股份有限公司,线下,否,,开启,否,,,SAP,2025-08-29 13:30:38,2025-09-26 15:01:52,,,,,
6783,股份食代说广州荣庆佰健在途仓,6783,产成品,逻辑仓,TCBJ-C仓,有效,合格,西南荣庆-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:52,,,,,
6782,股份食代说南京神行佰健在途仓,6782,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:52,,,,,
6781,股份麦优广州荣庆众华朗臣在途仓,6781,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行众华共享仓（c仓）,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:52,,,,,
6780,股份麦优南京神行众华朗臣在途仓,6780,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行众华共享仓（c仓）,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:51,,,,,
6779,股份麦优广州荣庆健领在途仓,6779,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行健领共享仓,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:51,,,,,
6778,股份麦优南京神行健领在途仓,6778,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行健领共享仓（物理c仓）,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:51,,,,,
6777,股份麦优广州荣庆佰健在途仓,6777,产成品,逻辑仓,TCBJ-C仓,有效,合格,广州荣庆佰健共享仓（物理c仓）,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:51,,,,,
6776,股份麦优南京神行佰健在途仓,6776,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行佰健共享仓（c仓）,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:51,,,,,
6775,股份LS南京佰健(南京)在途仓,6775,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:51,,,,,
6774,股份LS南京佰健(广州)在途仓,6774,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:50,,,,,
6773,股份佰悦南京神行牧商在途仓,6773,产成品,逻辑仓,TCBJ-C仓,有效,合格,珠海仓,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:50,,,,,
6772,股份佰悦广州荣庆众华朗臣在途仓,6772,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行众华共享仓（c仓）,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:50,,CN01,,汤臣倍健股份有限公司,1415929557998108018
6771,股份佰悦南京神行众华朗臣在途仓,6771,产成品,逻辑仓,TCBJ-C仓,有效,合格,南京神行众华共享仓（c仓）,汤臣倍健股份有限公司,线上,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:50,,CN01,,汤臣倍健股份有限公司,1415929557998108018
6770,股份佰悦广州荣庆健领在途仓,6770,产成品,逻辑仓,TCBJ-C仓,有效,合格,华南顺丰-电商,汤臣倍健股份有限公司,线下,否,,开启,否,,0830-xiaoyuan,SAP,2025-08-29 13:30:38,2025-09-26 15:01:50,,,,,
