商品长编码,商品名称,批次,仓库类型,仓库编码,仓库名称,库存组织,即时库存,可用库存,预占库存,锁定库存,待收数,生产日期,到期日期,销售预占,创建时间,更新时间,更新人
A.A.06.01.AA060121A,健力多Ca-mini钙维生素D片电商装（60片）,20250403D,逻辑仓,3.2.604,股份RDC佰悦珠海京东共享仓（新）,汤臣倍健股份有限公司,32640,32640,0,0,0,,,0,,,
A.A.09.01.AA090197C,健乐多补充蛋白质运动营养粉乳清蛋白（香草味）（300g盒装）,20250401A,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,498,498,0,0,0,,,0,,,
A.A.13.01.AA130122G,天然博士益生菌固体饮料(5袋)电商专供盒装,20250401P,逻辑仓,3.2.655,股份产成品（华南顺丰）待检仓,汤臣倍健股份有限公司,3840,3840,0,0,0,,,0,,,
A.A.018.AA0180001F,天然博士DHA藻油凝胶糖果儿童型（50粒）盒装,20250401G,逻辑仓,BT01,佰腾珠海合格仓 ,广东佰腾药业有限公司,157,157,0,0,0,,,0,,,
A.A.06.01.AA060121A,健力多Ca-mini钙维生素D片电商装（60片）,20250402D,逻辑仓,BY173,佰悦电商产成品（华南顺丰）合格仓,广东佰悦网络科技有限公司,19584,19584,0,0,0,,,0,,,
A.A.018.AA0180001F,天然博士DHA藻油凝胶糖果儿童型（50粒）盒装,20240502G,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,420,420,0,0,0,,,0,,,
A.A.001.AA0010042A,汤臣倍健尊耀蛋白粉礼盒（420g+300g）,20250404C,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,7568,7568,0,0,0,,,0,,,
A.A.06.01.AA060101AN,健力多氨糖软骨素钙片电商专供装80片x4礼盒装,20250412D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,958,958,0,0,0,,,0,,,
A.A.06.01.AA060101AN,健力多氨糖软骨素钙片电商专供装80片x4礼盒装,20250413D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,4693,4693,0,0,0,,,0,,,
F.A.40.FA40872,商超02号艾草锤,250401-01,逻辑仓,SDS002,珠海食代说成品合格仓,珠海食代说食品有限公司,2000,2000,0,0,0,,,0,,,
A.A.018.AA0180003A,天然博士高钙CPP酪蛋白磷酸肽饮品（3袋）体验装,20250428K,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,7473,7473,0,0,0,,,0,,,
F.A.40.FA40840,天然博士Y25-618海底两万里联名礼盒,250401-01,逻辑仓,BT45,佰腾电商珠海合格仓,广东佰腾药业有限公司,2400,2400,0,0,0,,,0,,,
F.A.40.FA40856,天然博士Y25-618海底两万里联名礼袋,250401-01,逻辑仓,BT45,佰腾电商珠海合格仓,广东佰腾药业有限公司,3400,3400,0,0,0,,,0,,,
A.A.001.AA0010042A,汤臣倍健尊耀蛋白粉礼盒（420g+300g）,20250403C,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,10023,10023,0,0,0,,,0,,,
A.A.24.01.AA240103B,维满C维生素C咀嚼片（西柚味）（30片，体验装）,20250401D,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,9600,9600,0,0,0,,,0,,,
A.A.006.AA0060003A,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（280片）,20250315N,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,40,40,0,0,0,,,0,,,
A.A.06.01.AA060108W,汤臣倍健健力多钙维生素D片电商专供品（60片）,20250406D,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,480,480,0,0,0,,,0,,,
A.A.06.01.AA060108W,汤臣倍健健力多钙维生素D片电商专供品（60片）,20250318D,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,2223,2223,0,0,0,,,0,,,
A.A.06.01.AA060108W,汤臣倍健健力多钙维生素D片电商专供品（60片）,20250405D,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,19953,19953,0,0,0,,,0,,,
A.A.06.01.AA060102Q,汤臣倍健健力多氨糖软骨素钙片180片彩盒装-A,20241210D,逻辑仓,3.2.654,股份RDC佰悦华南顺丰共享仓,汤臣倍健股份有限公司,250,250,0,0,0,,,0,,,
A.A.018.AA0180003A,天然博士高钙CPP酪蛋白磷酸肽饮品（3袋）体验装,20250427K,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,7267,7267,0,0,0,,,0,,,
A.A.006.AA0060003D,健力多氨糖硫酸软骨素胶原蛋白肽片彩盒装（60片）,20250429N,逻辑仓,BJ043,佰嘉产成品（成都）不合格仓,广东佰嘉药业有限公司,1,1,0,0,0,,,0,,,
A.A.01.02.AA010220AR,汤臣倍健钙维生素D维生素K软胶囊彩盒装（120粒）专供品,20250414G,逻辑仓,YY042,药业产成品（成都）不合格仓,汤臣倍健药业有限公司,2,2,0,0,0,,,0,,,
F.A.40.FA40449,亲肤洗脸柔巾80片,250401-01,逻辑仓,YY001,药业产成品（珠海）合格仓,汤臣倍健药业有限公司,10000,10000,0,0,0,,,0,,,
A.A.01.03.AA010306AE,汤臣倍健鱼油软胶囊升级版（200粒）,20250423G,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,9579,9579,0,0,0,,,0,,,
A.A.030.AA0300002D,健安适水飞蓟葛根丹参片（60片）,20250403D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,2477,2477,0,0,0,,,0,,,
A.A.09.02.AA090208,健乐多钙维生素D运动营养片（酸奶味）（60片）,20250402A,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,16272,16272,0,0,0,,,0,,,
A.A.006.AA0060002C,健力多氨糖硫酸软骨素钙片体验装（15片）,20250415D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,90372,90372,0,0,0,,,0,,,
A.A.01.01.AA010190S,汤臣倍健维生素E软胶囊升级版（30粒，本品不单独销售）,20250403G,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,88704,88704,0,0,0,,,0,,,
A.A.01.03.AA010306AE,汤臣倍健鱼油软胶囊升级版（200粒）,20250422G,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,9582,9582,0,0,0,,,0,,,
A.A.058.AA0580012,Yep胶原蛋白肽玫瑰花透明质酸钠口服液（7瓶装),20250411K,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,3888,3888,0,0,0,,,0,,,
A.A.09.02.AA090208,健乐多钙维生素D运动营养片（酸奶味）（60片）,20250401A,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,16272,16272,0,0,0,,,0,,,
A.A.001.AA0010042A,汤臣倍健尊耀蛋白粉礼盒（420g+300g）,20250402C,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,9985,9985,0,0,0,,,0,,,
A.A.001.AA0010053A,汤臣倍健金装鱼油软胶囊礼盒装（60粒*3）,20250401G,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,5855,5855,0,0,0,,,0,,,
A.A.018.AA0180001B,天然博士DHA藻油凝胶糖果儿童型（20粒×3）礼盒装,20250403G,逻辑仓,BT01,佰腾珠海合格仓 ,广东佰腾药业有限公司,122,122,0,0,0,,,0,,,
A.A.058.AA0580010,汤臣倍健Yep复合益生菌固体饮料（350亿，AD）（20袋）,20250401P,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,14592,14592,0,0,0,,,0,,,
A.A.01.03.AA010311F,汤臣倍健大豆磷脂软胶囊升级版（120粒）,20250403G,逻辑仓,YY029,药业产成品（成都）合格仓,汤臣倍健药业有限公司,8447,8447,0,0,0,,,0,,,
A.A.001.AA0010054A,汤臣倍健钙维生素E蛋白粉（520g）,20250414A,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,20023,20023,0,0,0,,,0,,,
F.A.39.FA39986,天然博士品牌定制小方巾,250401-01,逻辑仓,BT45,佰腾电商珠海合格仓,广东佰腾药业有限公司,4000,4000,0,0,0,,,0,,,
A.A.06.01.AA060102CQ,健力多氨糖软骨素钙片电商专供装100片*3礼盒装,20250415D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,4000,4000,0,0,0,,,0,,,
A.A.01.01.AA010165J,汤臣倍健银色多维多种维生素矿物质片优惠装升级版（60片×2）,20250404D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,8210,8210,0,0,0,,,0,,,
A.A.001.AA0010034,汤臣倍健蔓越莓越橘胶囊 （60粒）,20250401D,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,2724,2724,0,0,0,,,0,,,
A.A.01.01.AA010179AD,汤臣倍健维生素C片（甜橙味）优惠装升级版（100片×2）,20250312D,逻辑仓,YY129, 药业产成品（珠海京东特渠）合格仓,汤臣倍健药业有限公司,16,16,0,0,0,,,0,,,
A.A.01.02.AA010220BD,汤臣倍健钙维生素D维生素K软胶囊升级版（200粒×2）促销装,20250435G,逻辑仓,YY129, 药业产成品（珠海京东特渠）合格仓,汤臣倍健药业有限公司,36,36,0,0,0,,,0,,,
A.A.001.AA0010021A,汤臣倍健金装蛋白粉礼盒（300g*2）,20250302N,逻辑仓,YY129, 药业产成品（珠海京东特渠）合格仓,汤臣倍健药业有限公司,36,36,0,0,0,,,0,,,
A.A.01.03.AA010306AE,汤臣倍健鱼油软胶囊升级版（200粒）,20250421G,逻辑仓,3.1.312,产成品（珠海）待检仓,汤臣倍健股份有限公司,9582,9582,0,0,0,,,0,,,
A.A.01.01.AA010157G,汤臣倍健植物蛋白粉固体饮料(150g/高盖/条码+本品不单独销售）,20250401F,逻辑仓,012801.CP009,广州麦优产成品（珠海）合格仓,广州麦优网络科技有限公司,33396,33396,0,0,0,,,0,,,
A.A.06.01.AA060108W,汤臣倍健健力多钙维生素D片电商专供品（60片）,20250416D,逻辑仓,BY045,佰悦电商珠海合格仓,广东佰悦网络科技有限公司,13440,13440,0,0,0,,,0,,,
A.A.018.AA0180003,天然博士高钙CPP酪蛋白磷酸肽饮品（30袋）盒装,20250429K,逻辑仓,BT01,佰腾珠海合格仓 ,广东佰腾药业有限公司,733,733,0,0,0,,,0,,,
A.A.018.AA0180003,天然博士高钙CPP酪蛋白磷酸肽饮品（30袋）盒装,20250425K,逻辑仓,BT01,佰腾珠海合格仓 ,广东佰腾药业有限公司,735,735,0,0,0,,,0,,,
